id	name	description	classes	genes_external_ids	diseases_ids	drugs_ids	compounds_ids
mmu00030	Pentose phosphate pathway	The pentose phosphate pathway is a process of glucose turnover that produces NADPH as reducing equivalents and pentoses as essential parts of nucleotides. There are two different phases in the pathway. One is irreversible oxidative phase in which glucose-6P is converted to ribulose-5P by oxidative decarboxylation, and NADPH is generated [MD:M00006]. The other is reversible non-oxidative phase in which phosphorylated sugars are interconverted to generate xylulose-5P, ribulose-5P, and ribose-5P [MD:M00007]. Phosphoribosyl pyrophosphate (PRPP) formed from ribose-5P [MD:M00005] is an activated compound used in the biosynthesis of histidine and purine/pyrimidine nucleotides. This pathway map also shows the Entner-Doudoroff pathway where 6-P-gluconate is dehydrated and then cleaved into pyruvate and glyceraldehyde-3P [MD:M00008].	Metabolism;Carbohydrate metabolism	10090.ENSMUSP00000049355;10090.ENSMUSP00000131163;10090.ENSMUSP00000004327;10090.ENSMUSP00000034264;10090.ENSMUSP00000030830;10090.ENSMUSP00000081141;10090.ENSMUSP00000027157;10090.ENSMUSP00000022529;10090.ENSMUSP00000010127;10090.ENSMUSP00000002025;10090.ENSMUSP00000026576;10090.ENSMUSP00000064158;10090.ENSMUSP00000084959;10090.ENSMUSP00000031018;10090.ENSMUSP00000061227;10090.ENSMUSP00000084582;10090.ENSMUSP00000033809;10090.ENSMUSP00000026839;10090.ENSMUSP00000133736;10090.ENSMUSP00000133931;10090.ENSMUSP00000023832;10090.ENSMUSP00000060218;10090.ENSMUSP00000047761;10090.ENSMUSP00000084846;10090.ENSMUSP00000029987;10090.ENSMUSP00000099536;10090.ENSMUSP00000077687;10090.ENSMUSP00000079022;10090.ENSMUSP00000090564;10090.ENSMUSP00000021907;10090.ENSMUSP00000020522;10090.ENSMUSP00000059801;10090.ENSMUSP00000117030			C00022;C00031;C00117;C00118;C00119;C00121;C00197;C00198;C00199;C00204;C00221;C00231;C00257;C00258;C00279;C00345;C00577;C00620;C00631;C00668;C00672;C00673;C01151;C01172;C01182;C01218;C01236;C01801;C03752;C04442;C05345;C05378;C05382;C06019;C06473;C20589
mmu00040	Pentose and glucuronate interconversions		Metabolism;Carbohydrate metabolism	10090.ENSMUSP00000026613;10090.ENSMUSP00000077899;10090.ENSMUSP00000068282;10090.ENSMUSP00000037258;10090.ENSMUSP00000108759;10090.ENSMUSP00000114583;10090.ENSMUSP00000073444;10090.ENSMUSP00000108767;10090.ENSMUSP00000058683;10090.ENSMUSP00000095263;10090.ENSMUSP00000031195;10090.ENSMUSP00000031183;10090.ENSMUSP00000108763;10090.ENSMUSP00000072803;10090.ENSMUSP00000031181;10090.ENSMUSP00000092233;10090.ENSMUSP00000072598;10090.ENSMUSP00000075255;10090.ENSMUSP00000031186;10090.ENSMUSP00000108764;10090.ENSMUSP00000031103;10090.ENSMUSP00000099939;10090.ENSMUSP00000030455;10090.ENSMUSP00000022517;10090.ENSMUSP00000027157;10090.ENSMUSP00000047254;10090.ENSMUSP00000007449;10090.ENSMUSP00000040244;10090.ENSMUSP00000100045;10090.ENSMUSP00000039114;10090.ENSMUSP00000026144;10090.ENSMUSP00000106180;10090.ENSMUSP00000011526;10090.ENSMUSP00000078216;10090.ENSMUSP00000061646			C00022;C00026;C00029;C00103;C00111;C00116;C00167;C00181;C00191;C00199;C00204;C00216;C00231;C00259;C00266;C00309;C00310;C00312;C00333;C00379;C00433;C00470;C00474;C00476;C00502;C00508;C00514;C00532;C00558;C00618;C00714;C00789;C00800;C00817;C00905;C01068;C01101;C01508;C01904;C02266;C02273;C02426;C02753;C03033;C03291;C03826;C04053;C04349;C04575;C05385;C05411;C05412;C06118;C06441;C14899;C15930;C20680;C22337
mmu00051	Fructose and mannose metabolism		Metabolism;Carbohydrate metabolism	10090.ENSMUSP00000034856;10090.ENSMUSP00000023396;10090.ENSMUSP00000023112;10090.ENSMUSP00000107914;10090.ENSMUSP00000035564;10090.ENSMUSP00000036696;10090.ENSMUSP00000023231;10090.ENSMUSP00000068939;10090.ENSMUSP00000039271;10090.ENSMUSP00000000642;10090.ENSMUSP00000051215;10090.ENSMUSP00000097282;10090.ENSMUSP00000020277;10090.ENSMUSP00000020522;10090.ENSMUSP00000059801;10090.ENSMUSP00000117030;10090.ENSMUSP00000090564;10090.ENSMUSP00000021907;10090.ENSMUSP00000079692;10090.ENSMUSP00000127587;10090.ENSMUSP00000110495;10090.ENSMUSP00000057197;10090.ENSMUSP00000048643;10090.ENSMUSP00000031053;10090.ENSMUSP00000106180;10090.ENSMUSP00000007449;10090.ENSMUSP00000040244;10090.ENSMUSP00000100045;10090.ENSMUSP00000039114;10090.ENSMUSP00000084846;10090.ENSMUSP00000029987;10090.ENSMUSP00000099536;10090.ENSMUSP00000077687;10090.ENSMUSP00000079022;10090.ENSMUSP00000130858;10090.ENSMUSP00000044556			C00095;C00096;C00111;C00118;C00159;C00186;C00247;C00267;C00275;C00325;C00392;C00424;C00464;C00507;C00577;C00636;C00644;C00665;C00794;C00861;C00976;C01019;C01094;C01096;C01099;C01131;C01222;C01355;C01487;C01720;C01721;C01768;C01934;C02431;C02492;C02888;C02962;C02977;C02985;C02991;C03117;C03267;C03827;C03979;C05144;C05345;C05378;C05392;C06192;C11516;C11544;C18028;C18096;C20781;C20836
mmu00052	Galactose metabolism		Metabolism;Carbohydrate metabolism	10090.ENSMUSP00000040580;10090.ENSMUSP00000021114;10090.ENSMUSP00000081745;10090.ENSMUSP00000099599;10090.ENSMUSP00000099939;10090.ENSMUSP00000061227;10090.ENSMUSP00000084582;10090.ENSMUSP00000000642;10090.ENSMUSP00000051215;10090.ENSMUSP00000097282;10090.ENSMUSP00000020277;10090.ENSMUSP00000099984;10090.ENSMUSP00000019469;10090.ENSMUSP00000005364;10090.ENSMUSP00000077995;10090.ENSMUSP00000055803;10090.ENSMUSP00000073190;10090.ENSMUSP00000023726;10090.ENSMUSP00000030121;10090.ENSMUSP00000030266;10090.ENSMUSP00000033621;10090.ENSMUSP00000007449;10090.ENSMUSP00000040244;10090.ENSMUSP00000100045;10090.ENSMUSP00000039114;10090.ENSMUSP00000020522;10090.ENSMUSP00000059801;10090.ENSMUSP00000117030;10090.ENSMUSP00000071466;10090.ENSMUSP00000101866;10090.ENSMUSP00000116898;10090.ENSMUSP00000129116			C00029;C00031;C00052;C00085;C00089;C00095;C00103;C00111;C00116;C00118;C00124;C00137;C00159;C00243;C00267;C00446;C00492;C00577;C00668;C00794;C00795;C00880;C00984;C01097;C01113;C01132;C01216;C01235;C01286;C01613;C01697;C02262;C02669;C03383;C03733;C03785;C05396;C05399;C05400;C05401;C05402;C05404;C05796;C06311;C06376;C06377
mmu00053	Ascorbate and aldarate metabolism		Metabolism;Carbohydrate metabolism	10090.ENSMUSP00000031103;10090.ENSMUSP00000068282;10090.ENSMUSP00000037258;10090.ENSMUSP00000108759;10090.ENSMUSP00000114583;10090.ENSMUSP00000073444;10090.ENSMUSP00000108767;10090.ENSMUSP00000058683;10090.ENSMUSP00000095263;10090.ENSMUSP00000031195;10090.ENSMUSP00000031183;10090.ENSMUSP00000108763;10090.ENSMUSP00000072803;10090.ENSMUSP00000031181;10090.ENSMUSP00000092233;10090.ENSMUSP00000072598;10090.ENSMUSP00000075255;10090.ENSMUSP00000031186;10090.ENSMUSP00000108764;10090.ENSMUSP00000026613;10090.ENSMUSP00000077899;10090.ENSMUSP00000023282;10090.ENSMUSP00000030455;10090.ENSMUSP00000023832;10090.ENSMUSP00000060912;10090.ENSMUSP00000031411;10090.ENSMUSP00000073764;10090.ENSMUSP00000041260;10090.ENSMUSP00000133372;10090.ENSMUSP00000028004			C00022;C00026;C00029;C00072;C00096;C00137;C00167;C00191;C00216;C00231;C00259;C00333;C00433;C00545;C00558;C00617;C00618;C00652;C00679;C00684;C00800;C00818;C00878;C00879;C01040;C01041;C01101;C01114;C01115;C01146;C01620;C01825;C02280;C02670;C03033;C03064;C03289;C03291;C03826;C03921;C04037;C04575;C05385;C05411;C05412;C05422;C06316;C14899;C15923;C15924;C15925;C15926;C15930;C16186;C20889;C20896;C21955
mmu00500	Starch and sucrose metabolism		Metabolism;Carbohydrate metabolism	10090.ENSMUSP00000071466;10090.ENSMUSP00000101866;10090.ENSMUSP00000116898;10090.ENSMUSP00000129116;10090.ENSMUSP00000099939;10090.ENSMUSP00000101159;10090.ENSMUSP00000020169;10090.ENSMUSP00000003964;10090.ENSMUSP00000032371;10090.ENSMUSP00000114019;10090.ENSMUSP00000132603;10090.ENSMUSP00000047564;10090.ENSMUSP00000035743;10090.ENSMUSP00000071231;10090.ENSMUSP00000044012;10090.ENSMUSP00000070368;10090.ENSMUSP00000096264;10090.ENSMUSP00000118962;10090.ENSMUSP00000034609;10090.ENSMUSP00000061227;10090.ENSMUSP00000084582;10090.ENSMUSP00000000642;10090.ENSMUSP00000051215;10090.ENSMUSP00000097282;10090.ENSMUSP00000020277;10090.ENSMUSP00000099984;10090.ENSMUSP00000019469;10090.ENSMUSP00000005364;10090.ENSMUSP00000077995;10090.ENSMUSP00000081998;10090.ENSMUSP00000049355			C00029;C00031;C00085;C00089;C00092;C00095;C00103;C00185;C00208;C00252;C00369;C00372;C00394;C00498;C00501;C00663;C00689;C00718;C00721;C00760;C00963;C00965;C00973;C01083;C01231;C01725;C01898;C01935;C02591;C02995;C03323;C04534;C05731;C06215;C06400;C16688;C20237
mmu00520	Amino sugar and nucleotide sugar metabolism		Metabolism;Carbohydrate metabolism	10090.ENSMUSP00000078134;10090.ENSMUSP00000123979;10090.ENSMUSP00000029510;10090.ENSMUSP00000026262;10090.ENSMUSP00000022169;10090.ENSMUSP00000042026;10090.ENSMUSP00000036141;10090.ENSMUSP00000069081;10090.ENSMUSP00000031117;10090.ENSMUSP00000000642;10090.ENSMUSP00000051215;10090.ENSMUSP00000097282;10090.ENSMUSP00000020277;10090.ENSMUSP00000109288;10090.ENSMUSP00000020629;10090.ENSMUSP00000042860;10090.ENSMUSP00000070871;10090.ENSMUSP00000028636;10090.ENSMUSP00000106983;10090.ENSMUSP00000099989;10090.ENSMUSP00000030201;10090.ENSMUSP00000112277;10090.ENSMUSP00000030018;10090.ENSMUSP00000063895;10090.ENSMUSP00000037454;10090.ENSMUSP00000032419;10090.ENSMUSP00000129007;10090.ENSMUSP00000027726;10090.ENSMUSP00000018186;10090.ENSMUSP00000102369;10090.ENSMUSP00000126119;10090.ENSMUSP00000119939;10090.ENSMUSP00000099984;10090.ENSMUSP00000061227;10090.ENSMUSP00000084582;10090.ENSMUSP00000099939;10090.ENSMUSP00000031103;10090.ENSMUSP00000021114;10090.ENSMUSP00000081745;10090.ENSMUSP00000099599;10090.ENSMUSP00000049355;10090.ENSMUSP00000034856;10090.ENSMUSP00000023396;10090.ENSMUSP00000023112;10090.ENSMUSP00000107914;10090.ENSMUSP00000035564;10090.ENSMUSP00000036696;10090.ENSMUSP00000023231;10090.ENSMUSP00000039271;10090.ENSMUSP00000068939			C00029;C00031;C00043;C00052;C00096;C00103;C00128;C00140;C00159;C00167;C00181;C00190;C00191;C00203;C00216;C00259;C00267;C00270;C00275;C00325;C00329;C00333;C00352;C00357;C00394;C00446;C00461;C00498;C00501;C00617;C00636;C00645;C00668;C00714;C00734;C00935;C00976;C00984;C00996;C00999;C01019;C01050;C01132;C01170;C01219;C01222;C01623;C01674;C01788;C02199;C02280;C02336;C02352;C02474;C02713;C02977;C02985;C03117;C03410;C03598;C03599;C03691;C03733;C03906;C04037;C04089;C04257;C04297;C04501;C04573;C04613;C04630;C04631;C05345;C05385;C06023;C06156;C06240;C06241;C06377;C11521;C13952;C15925;C16153;C16154;C16155;C16156;C16157;C16183;C16698;C17269;C17326;C17327;C17328;C18060;C18094;C19725;C19745;C19769;C19823;C19961;C19971;C19972;C20082;C20083;C20357;C20359;C20395;C20418;C20419;C20424;C20638;C20672;C20934;C21027;C21383;C21384;C22029
mmu00620	Pyruvate metabolism		Metabolism;Carbohydrate metabolism	10090.ENSMUSP00000028944;10090.ENSMUSP00000029135;10090.ENSMUSP00000033662;10090.ENSMUSP00000060774;10090.ENSMUSP00000022268;10090.ENSMUSP00000034567;10090.ENSMUSP00000106481;10090.ENSMUSP00000004232;10090.ENSMUSP00000087633;10090.ENSMUSP00000013458;10090.ENSMUSP00000005964;10090.ENSMUSP00000030455;10090.ENSMUSP00000034834;10090.ENSMUSP00000035417;10090.ENSMUSP00000099490;10090.ENSMUSP00000099642;10090.ENSMUSP00000008966;10090.ENSMUSP00000074195;10090.ENSMUSP00000031411;10090.ENSMUSP00000073764;10090.ENSMUSP00000041260;10090.ENSMUSP00000133372;10090.ENSMUSP00000028004;10090.ENSMUSP00000022120;10090.ENSMUSP00000103267;10090.ENSMUSP00000032373;10090.ENSMUSP00000014545;10090.ENSMUSP00000139572;10090.ENSMUSP00000068086;10090.ENSMUSP00000024823;10090.ENSMUSP00000113051;10090.ENSMUSP00000047218;10090.ENSMUSP00000025439;10090.ENSMUSP00000034989;10090.ENSMUSP00000032856;10090.ENSMUSP00000063825;10090.ENSMUSP00000099938;10090.ENSMUSP00000019323;10090.ENSMUSP00000027810;10090.ENSMUSP00000029017;10090.ENSMUSP00000038555;10090.ENSMUSP00000007005;10090.ENSMUSP00000034547;10090.ENSMUSP00000045912			C00022;C00024;C00033;C00036;C00042;C00058;C00068;C00074;C00083;C00084;C00122;C00149;C00186;C00227;C00256;C00332;C00424;C00469;C00546;C00937;C01251;C02488;C02504;C03248;C03451;C03981;C05125;C05993;C05994;C15972;C15973;C16255
mmu00630	Glyoxylate and dicarboxylate metabolism		Metabolism;Carbohydrate metabolism	10090.ENSMUSP00000028944;10090.ENSMUSP00000029135;10090.ENSMUSP00000099938;10090.ENSMUSP00000019323;10090.ENSMUSP00000005826;10090.ENSMUSP00000052373;10090.ENSMUSP00000023116;10090.ENSMUSP00000100038;10090.ENSMUSP00000007005;10090.ENSMUSP00000034547;10090.ENSMUSP00000045912;10090.ENSMUSP00000047855;10090.ENSMUSP00000038763;10090.ENSMUSP00000035116;10090.ENSMUSP00000130941;10090.ENSMUSP00000029464;10090.ENSMUSP00000028704;10090.ENSMUSP00000028610;10090.ENSMUSP00000047218;10090.ENSMUSP00000052866;10090.ENSMUSP00000027491;10090.ENSMUSP00000083375;10090.ENSMUSP00000018744;10090.ENSMUSP00000026470;10090.ENSMUSP00000025778;10090.ENSMUSP00000035230;10090.ENSMUSP00000106481;10090.ENSMUSP00000037131;10090.ENSMUSP00000006562;10090.ENSMUSP00000047761;10090.ENSMUSP00000080414;10090.ENSMUSP00000073102			C00007;C00011;C00014;C00022;C00024;C00025;C00026;C00027;C00033;C00036;C00037;C00042;C00048;C00058;C00064;C00065;C00091;C00100;C00111;C00136;C00149;C00158;C00160;C00168;C00197;C00209;C00258;C00266;C00311;C00313;C00332;C00417;C00552;C00631;C00683;C00798;C00877;C00888;C00898;C00975;C00988;C01127;C01146;C01182;C01213;C01380;C01732;C01989;C01990;C02123;C02405;C03217;C03459;C03548;C03561;C03618;C04348;C06027;C06028;C06049;C18026;C18324;C20238;C22337
mmu00640	Propanoate metabolism		Metabolism;Carbohydrate metabolism	10090.ENSMUSP00000028944;10090.ENSMUSP00000029135;10090.ENSMUSP00000040823;10090.ENSMUSP00000071292;10090.ENSMUSP00000139684;10090.ENSMUSP00000000349;10090.ENSMUSP00000106481;10090.ENSMUSP00000031524;10090.ENSMUSP00000063412;10090.ENSMUSP00000063325;10090.ENSMUSP00000120976;10090.ENSMUSP00000023559;10090.ENSMUSP00000026538;10090.ENSMUSP00000045606;10090.ENSMUSP00000099490;10090.ENSMUSP00000099642;10090.ENSMUSP00000095970;10090.ENSMUSP00000063548;10090.ENSMUSP00000038763;10090.ENSMUSP00000035116;10090.ENSMUSP00000020034;10090.ENSMUSP00000047855;10090.ENSMUSP00000130941;10090.ENSMUSP00000065113;10090.ENSMUSP00000078774;10090.ENSMUSP00000123765;10090.ENSMUSP00000082288;10090.ENSMUSP00000103267;10090.ENSMUSP00000032373;10090.ENSMUSP00000014545;10090.ENSMUSP00000139572			C00024;C00042;C00068;C00083;C00091;C00099;C00100;C00109;C00111;C00163;C00186;C00222;C00424;C00479;C00511;C00546;C00583;C00683;C00804;C00827;C00894;C01013;C01213;C02170;C02225;C02335;C02876;C04225;C04593;C05235;C05668;C05979;C05983;C05984;C05989;C06002;C15972;C15973;C21017;C21018;C21250
mmu00650	Butanoate metabolism		Metabolism;Carbohydrate metabolism	10090.ENSMUSP00000007005;10090.ENSMUSP00000034547;10090.ENSMUSP00000045912;10090.ENSMUSP00000029610;10090.ENSMUSP00000120976;10090.ENSMUSP00000023559;10090.ENSMUSP00000026538;10090.ENSMUSP00000031524;10090.ENSMUSP00000036140;10090.ENSMUSP00000081697;10090.ENSMUSP00000045160;10090.ENSMUSP00000063416;10090.ENSMUSP00000068803;10090.ENSMUSP00000021370;10090.ENSMUSP00000092539;10090.ENSMUSP00000028123;10090.ENSMUSP00000063548;10090.ENSMUSP00000040591;10090.ENSMUSP00000136944;10090.ENSMUSP00000088249;10090.ENSMUSP00000030432;10090.ENSMUSP00000008052;10090.ENSMUSP00000106318;10090.ENSMUSP00000099700;10090.ENSMUSP00000099708;10090.ENSMUSP00000031445;10090.ENSMUSP00000110882			C00022;C00024;C00025;C00026;C00042;C00091;C00122;C00132;C00136;C00164;C00207;C00232;C00246;C00332;C00334;C00356;C00497;C00741;C00810;C00877;C00989;C01089;C01144;C01384;C01412;C01769;C01845;C02331;C02411;C02527;C02630;C03044;C03046;C03058;C03561;C04546;C06010;C06142;C06143;C06144;C06145;C06146;C11062;C17530;C20657;C20783;C21390
