,id,name,category,proteins,p_value,fdr_rate
11,GO:0060537,Muscle tissue development,Biological Process (Gene Ontology),"['10090.ENSMUSP00000067708', '10090.ENSMUSP00000070200', '10090.ENSMUSP00000034723', '10090.ENSMUSP00000032457', '10090.ENSMUSP00000122354', '10090.ENSMUSP00000086592', '10090.ENSMUSP00000035900', '10090.ENSMUSP00000028836', '10090.ENSMUSP00000074516', '10090.ENSMUSP00000012281', '10090.ENSMUSP00000066488', '10090.ENSMUSP00000022680', '10090.ENSMUSP00000088453', '10090.ENSMUSP00000046152', '10090.ENSMUSP00000027941', '10090.ENSMUSP00000032125', '10090.ENSMUSP00000093969', '10090.ENSMUSP00000053703', '10090.ENSMUSP00000009143', '10090.ENSMUSP00000044769', '10090.ENSMUSP00000034453', '10090.ENSMUSP00000022921', '10090.ENSMUSP00000087736', '10090.ENSMUSP00000117686', '10090.ENSMUSP00000112137', '10090.ENSMUSP00000072483', '10090.ENSMUSP00000073720', '10090.ENSMUSP00000021617']",0.005713508653617342,0.04825139907684526
12,GO:0003677,DNA binding,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000066068', '10090.ENSMUSP00000104216', '10090.ENSMUSP00000030813', '10090.ENSMUSP00000038321', '10090.ENSMUSP00000046235', '10090.ENSMUSP00000027943', '10090.ENSMUSP00000084896', '10090.ENSMUSP00000021606', '10090.ENSMUSP00000084005', '10090.ENSMUSP00000045744', '10090.ENSMUSP00000019708', '10090.ENSMUSP00000104727', '10090.ENSMUSP00000048180', '10090.ENSMUSP00000093969', '10090.ENSMUSP00000129803', '10090.ENSMUSP00000098903', '10090.ENSMUSP00000034980', '10090.ENSMUSP00000112137', '10090.ENSMUSP00000072428', '10090.ENSMUSP00000103028', '10090.ENSMUSP00000119465', '10090.ENSMUSP00000107641', '10090.ENSMUSP00000111463', '10090.ENSMUSP00000099987', '10090.ENSMUSP00000095260', '10090.ENSMUSP00000023769', '10090.ENSMUSP00000099810', '10090.ENSMUSP00000106163', '10090.ENSMUSP00000039801', '10090.ENSMUSP00000052648', '10090.ENSMUSP00000108341', '10090.ENSMUSP00000027941', '10090.ENSMUSP00000045888', '10090.ENSMUSP00000042602', '10090.ENSMUSP00000022059', '10090.ENSMUSP00000085695', '10090.ENSMUSP00000111175', '10090.ENSMUSP00000009392', '10090.ENSMUSP00000075242', '10090.ENSMUSP00000032194', '10090.ENSMUSP00000002699', '10090.ENSMUSP00000108371', '10090.ENSMUSP00000020243', '10090.ENSMUSP00000070957', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000095498', '10090.ENSMUSP00000080242', '10090.ENSMUSP00000032386', '10090.ENSMUSP00000078998', '10090.ENSMUSP00000022135', '10090.ENSMUSP00000090850', '10090.ENSMUSP00000109203', '10090.ENSMUSP00000025561', '10090.ENSMUSP00000105413', '10090.ENSMUSP00000026125', '10090.ENSMUSP00000095866', '10090.ENSMUSP00000104456', '10090.ENSMUSP00000106345', '10090.ENSMUSP00000017694', '10090.ENSMUSP00000102624', '10090.ENSMUSP00000027974', '10090.ENSMUSP00000122354', '10090.ENSMUSP00000106846', '10090.ENSMUSP00000028071', '10090.ENSMUSP00000000326', '10090.ENSMUSP00000053147', '10090.ENSMUSP00000137439', '10090.ENSMUSP00000127995', '10090.ENSMUSP00000105234', '10090.ENSMUSP00000124264', '10090.ENSMUSP00000140785', '10090.ENSMUSP00000042207', '10090.ENSMUSP00000113388', '10090.ENSMUSP00000103815', '10090.ENSMUSP00000035512', '10090.ENSMUSP00000005406', '10090.ENSMUSP00000015605', '10090.ENSMUSP00000082154', '10090.ENSMUSP00000041104', '10090.ENSMUSP00000023151', '10090.ENSMUSP00000126202', '10090.ENSMUSP00000031314', '10090.ENSMUSP00000040706', '10090.ENSMUSP00000140251']",0.005690862966251036,0.04807695137863948
13,GO:0006887,Exocytosis,Biological Process (Gene Ontology),"['10090.ENSMUSP00000102050', '10090.ENSMUSP00000096677', '10090.ENSMUSP00000138188', '10090.ENSMUSP00000005954']",0.005647933802052457,0.047730965033429336
14,GO:0016328,Lateral plasma membrane,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000073974', '10090.ENSMUSP00000027863', '10090.ENSMUSP00000047353', '10090.ENSMUSP00000039657', '10090.ENSMUSP00000025561', '10090.ENSMUSP00000090089', '10090.ENSMUSP00000025893', '10090.ENSMUSP00000078337', '10090.ENSMUSP00000043624']",0.005602693832292912,0.04736520109357108
15,GO:0045428,Regulation of nitric oxide biosynthetic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000119242', '10090.ENSMUSP00000005406', '10090.ENSMUSP00000066488', '10090.ENSMUSP00000103981', '10090.ENSMUSP00000099904', '10090.ENSMUSP00000025257', '10090.ENSMUSP00000001780', '10090.ENSMUSP00000022858', '10090.ENSMUSP00000127128']",0.005602693832292912,0.04736520109357108
16,GO:0043949,Regulation of camp-mediated signaling,Biological Process (Gene Ontology),"['10090.ENSMUSP00000119242', '10090.ENSMUSP00000006828', '10090.ENSMUSP00000053638', '10090.ENSMUSP00000096957', '10090.ENSMUSP00000063784', '10090.ENSMUSP00000067057', '10090.ENSMUSP00000018644', '10090.ENSMUSP00000025791', '10090.ENSMUSP00000040847']",0.005602693832292912,0.04736520109357108
17,GO:0120035,Regulation of plasma membrane bounded cell projection organization,Biological Process (Gene Ontology),"['10090.ENSMUSP00000000137', '10090.ENSMUSP00000083840', '10090.ENSMUSP00000102624', '10090.ENSMUSP00000099534', '10090.ENSMUSP00000004774', '10090.ENSMUSP00000134825', '10090.ENSMUSP00000023769', '10090.ENSMUSP00000137931', '10090.ENSMUSP00000139759', '10090.ENSMUSP00000055862', '10090.ENSMUSP00000088964', '10090.ENSMUSP00000104533', '10090.ENSMUSP00000058754', '10090.ENSMUSP00000079041', '10090.ENSMUSP00000093939', '10090.ENSMUSP00000012281', '10090.ENSMUSP00000066488', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000103312', '10090.ENSMUSP00000022680', '10090.ENSMUSP00000084005', '10090.ENSMUSP00000023268', '10090.ENSMUSP00000133302', '10090.ENSMUSP00000104727', '10090.ENSMUSP00000058840', '10090.ENSMUSP00000026436', '10090.ENSMUSP00000025482', '10090.ENSMUSP00000063839', '10090.ENSMUSP00000026265', '10090.ENSMUSP00000079905', '10090.ENSMUSP00000067057', '10090.ENSMUSP00000023610', '10090.ENSMUSP00000093270', '10090.ENSMUSP00000009143', '10090.ENSMUSP00000024099', '10090.ENSMUSP00000023343', '10090.ENSMUSP00000044769', '10090.ENSMUSP00000001780', '10090.ENSMUSP00000084701', '10090.ENSMUSP00000005406', '10090.ENSMUSP00000051049', '10090.ENSMUSP00000140116', '10090.ENSMUSP00000127842', '10090.ENSMUSP00000057989', '10090.ENSMUSP00000027888', '10090.ENSMUSP00000047353', '10090.ENSMUSP00000137503', '10090.ENSMUSP00000067953', '10090.ENSMUSP00000006467', '10090.ENSMUSP00000101164', '10090.ENSMUSP00000028341', '10090.ENSMUSP00000116231', '10090.ENSMUSP00000045873', '10090.ENSMUSP00000073720', '10090.ENSMUSP00000075242', '10090.ENSMUSP00000078337']",0.005471383468829063,0.04630368993053167
18,GO:0014706,Striated muscle tissue development,Biological Process (Gene Ontology),"['10090.ENSMUSP00000067708', '10090.ENSMUSP00000070200', '10090.ENSMUSP00000034723', '10090.ENSMUSP00000032457', '10090.ENSMUSP00000122354', '10090.ENSMUSP00000086592', '10090.ENSMUSP00000035900', '10090.ENSMUSP00000028836', '10090.ENSMUSP00000074516', '10090.ENSMUSP00000012281', '10090.ENSMUSP00000066488', '10090.ENSMUSP00000022680', '10090.ENSMUSP00000088453', '10090.ENSMUSP00000046152', '10090.ENSMUSP00000027941', '10090.ENSMUSP00000032125', '10090.ENSMUSP00000093969', '10090.ENSMUSP00000053703', '10090.ENSMUSP00000009143', '10090.ENSMUSP00000044769', '10090.ENSMUSP00000034453', '10090.ENSMUSP00000022921', '10090.ENSMUSP00000087736', '10090.ENSMUSP00000117686', '10090.ENSMUSP00000072483', '10090.ENSMUSP00000073720', '10090.ENSMUSP00000021617']",0.005417602790657644,0.04586460926451672
19,MMU-913709,O-linked glycosylation of mucins,Reactome Pathways,"['10090.ENSMUSP00000034260', '10090.ENSMUSP00000078712', '10090.ENSMUSP00000108931', '10090.ENSMUSP00000031384', '10090.ENSMUSP00000060247', '10090.ENSMUSP00000104844', '10090.ENSMUSP00000066515', '10090.ENSMUSP00000068590']",0.005404887403687899,0.04577299528631272
20,path:mmu05208,Chemical carcinogenesis - reactive oxygen species,KEGG,"['10090.ENSMUSP00000016396', '10090.ENSMUSP00000025910', '10090.ENSMUSP00000099810', '10090.ENSMUSP00000018914', '10090.ENSMUSP00000026495', '10090.ENSMUSP00000103312', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000030455', '10090.ENSMUSP00000023608', '10090.ENSMUSP00000023677', '10090.ENSMUSP00000001780', '10090.ENSMUSP00000026459', '10090.ENSMUSP00000101006', '10090.ENSMUSP00000001155', '10090.ENSMUSP00000112137', '10090.ENSMUSP00000103981', '10090.ENSMUSP00000106789', '10090.ENSMUSP00000110547', '10090.ENSMUSP00000113022', '10090.ENSMUSP00000102147']",0.0054018169227705625,0.045763026646815454
21,GO:0002020,Protease binding,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000015994', '10090.ENSMUSP00000032203', '10090.ENSMUSP00000025239', '10090.ENSMUSP00000026495', '10090.ENSMUSP00000029842', '10090.ENSMUSP00000078337', '10090.ENSMUSP00000025250', '10090.ENSMUSP00000034709', '10090.ENSMUSP00000084846', '10090.ENSMUSP00000050076', '10090.ENSMUSP00000034756', '10090.ENSMUSP00000001652', '10090.ENSMUSP00000006570', '10090.ENSMUSP00000052258', '10090.ENSMUSP00000108371']",0.00538173125422452,0.045608851477772314
22,GO:0031398,Positive regulation of protein ubiquitination,Biological Process (Gene Ontology),"['10090.ENSMUSP00000073974', '10090.ENSMUSP00000062256', '10090.ENSMUSP00000013949', '10090.ENSMUSP00000109502', '10090.ENSMUSP00000029842', '10090.ENSMUSP00000104208', '10090.ENSMUSP00000096957', '10090.ENSMUSP00000140049', '10090.ENSMUSP00000104503', '10090.ENSMUSP00000095866', '10090.ENSMUSP00000031613', '10090.ENSMUSP00000028071', '10090.ENSMUSP00000022921']",0.005378572461303274,0.04559806958600495
23,GO:0010743,Regulation of macrophage derived foam cell differentiation,Biological Process (Gene Ontology),"['10090.ENSMUSP00000024829', '10090.ENSMUSP00000036044', '10090.ENSMUSP00000047927', '10090.ENSMUSP00000021262', '10090.ENSMUSP00000023593']",0.005374000187843493,0.04557529282111482
24,GO:0090190,Positive regulation of branching involved in ureteric bud morphogenesis,Biological Process (Gene Ontology),"['10090.ENSMUSP00000066488', '10090.ENSMUSP00000086592', '10090.ENSMUSP00000073720', '10090.ENSMUSP00000068298', '10090.ENSMUSP00000070958']",0.005374000187843493,0.04557529282111482
25,GO:0050765,Negative regulation of phagocytosis,Biological Process (Gene Ontology),"['10090.ENSMUSP00000042875', '10090.ENSMUSP00000032457', '10090.ENSMUSP00000023343', '10090.ENSMUSP00000044769', '10090.ENSMUSP00000023593']",0.005374000187843493,0.04557529282111482
26,GO:0031420,Alkali metal ion binding,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000083077', '10090.ENSMUSP00000027863', '10090.ENSMUSP00000039657', '10090.ENSMUSP00000034547', '10090.ENSMUSP00000065966']",0.005374000187843493,0.04557529282111482
27,GO:0044003,Modulation by symbiont of host process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000025910', '10090.ENSMUSP00000032457', '10090.ENSMUSP00000007803', '10090.ENSMUSP00000044769', '10090.ENSMUSP00000105970']",0.005374000187843493,0.04557529282111482
28,GO:0097164,Ammonium ion metabolic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000029367', '10090.ENSMUSP00000024099', '10090.ENSMUSP00000058840', '10090.ENSMUSP00000133372', '10090.ENSMUSP00000086398']",0.005374000187843493,0.04557529282111482
29,GO:0048156,Tau protein binding,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000025239', '10090.ENSMUSP00000133302', '10090.ENSMUSP00000018841', '10090.ENSMUSP00000042009', '10090.ENSMUSP00000140116']",0.005374000187843493,0.04557529282111482
30,GO:0051457,Maintenance of protein location in nucleus,Biological Process (Gene Ontology),"['10090.ENSMUSP00000027393', '10090.ENSMUSP00000034228', '10090.ENSMUSP00000026265', '10090.ENSMUSP00000025893', '10090.ENSMUSP00000025791']",0.005374000187843493,0.04557529282111482
31,GO:0032024,Positive regulation of insulin secretion,Biological Process (Gene Ontology),"['10090.ENSMUSP00000063548', '10090.ENSMUSP00000014597', '10090.ENSMUSP00000096555', '10090.ENSMUSP00000023007', '10090.ENSMUSP00000025910', '10090.ENSMUSP00000032457', '10090.ENSMUSP00000033634', '10090.ENSMUSP00000112616', '10090.ENSMUSP00000031445', '10090.ENSMUSP00000138188', '10090.ENSMUSP00000095866']",0.005345115548653044,0.045457932023555275
32,GO:0030097,Hemopoiesis,Biological Process (Gene Ontology),"['10090.ENSMUSP00000017841', '10090.ENSMUSP00000002473', '10090.ENSMUSP00000099534', '10090.ENSMUSP00000027943', '10090.ENSMUSP00000032069', '10090.ENSMUSP00000034756', '10090.ENSMUSP00000117025', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000127995', '10090.ENSMUSP00000045744', '10090.ENSMUSP00000033093', '10090.ENSMUSP00000019679', '10090.ENSMUSP00000135027', '10090.ENSMUSP00000105234', '10090.ENSMUSP00000058840', '10090.ENSMUSP00000064282', '10090.ENSMUSP00000066040', '10090.ENSMUSP00000118491', '10090.ENSMUSP00000022196', '10090.ENSMUSP00000109979', '10090.ENSMUSP00000103028', '10090.ENSMUSP00000022793', '10090.ENSMUSP00000113388', '10090.ENSMUSP00000113571', '10090.ENSMUSP00000035512', '10090.ENSMUSP00000044769', '10090.ENSMUSP00000055447', '10090.ENSMUSP00000005406', '10090.ENSMUSP00000022921', '10090.ENSMUSP00000106534', '10090.ENSMUSP00000023151', '10090.ENSMUSP00000027888', '10090.ENSMUSP00000021554', '10090.ENSMUSP00000025561', '10090.ENSMUSP00000112137', '10090.ENSMUSP00000126377', '10090.ENSMUSP00000105413', '10090.ENSMUSP00000067953', '10090.ENSMUSP00000040706', '10090.ENSMUSP00000108143', '10090.ENSMUSP00000045873', '10090.ENSMUSP00000033846', '10090.ENSMUSP00000073720', '10090.ENSMUSP00000078337', '10090.ENSMUSP00000077757', '10090.ENSMUSP00000101684', '10090.ENSMUSP00000108371']",0.005263680194582966,0.044781115910971586
33,MMU-418555,G alpha (s) signalling events,Reactome Pathways,"['10090.ENSMUSP00000062256', '10090.ENSMUSP00000080162', '10090.ENSMUSP00000070445', '10090.ENSMUSP00000101060', '10090.ENSMUSP00000104208', '10090.ENSMUSP00000063784', '10090.ENSMUSP00000067057', '10090.ENSMUSP00000035551', '10090.ENSMUSP00000018644', '10090.ENSMUSP00000033765', '10090.ENSMUSP00000025791', '10090.ENSMUSP00000140890', '10090.ENSMUSP00000095866', '10090.ENSMUSP00000064761', '10090.ENSMUSP00000040847']",0.0051605887270370415,0.043919517441015944
34,GO:0046324,Regulation of glucose import,Biological Process (Gene Ontology),"['10090.ENSMUSP00000042875', '10090.ENSMUSP00000020500', '10090.ENSMUSP00000103981', '10090.ENSMUSP00000101164', '10090.ENSMUSP00000001963', '10090.ENSMUSP00000001780', '10090.ENSMUSP00000032272', '10090.ENSMUSP00000025791', '10090.ENSMUSP00000023593']",0.005109714420012069,0.04350186598509746
35,GO:0051536,Iron-sulfur cluster binding,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000048929', '10090.ENSMUSP00000063548', '10090.ENSMUSP00000110006', '10090.ENSMUSP00000001027', '10090.ENSMUSP00000023448', '10090.ENSMUSP00000114873', '10090.ENSMUSP00000023116', '10090.ENSMUSP00000100038', '10090.ENSMUSP00000049391']",0.005109714420012069,0.04350186598509746
36,GO:0051540,Metal cluster binding,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000048929', '10090.ENSMUSP00000063548', '10090.ENSMUSP00000110006', '10090.ENSMUSP00000001027', '10090.ENSMUSP00000023448', '10090.ENSMUSP00000114873', '10090.ENSMUSP00000023116', '10090.ENSMUSP00000100038', '10090.ENSMUSP00000049391']",0.005109714420012069,0.04350186598509746
37,GO:0060563,Neuroepithelial cell differentiation,Biological Process (Gene Ontology),"['10090.ENSMUSP00000097882', '10090.ENSMUSP00000027888', '10090.ENSMUSP00000099717', '10090.ENSMUSP00000020243', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000033282', '10090.ENSMUSP00000098903', '10090.ENSMUSP00000028836', '10090.ENSMUSP00000086398']",0.005109714420012069,0.04350186598509746
38,GO:0042698,Ovulation cycle,Biological Process (Gene Ontology),"['10090.ENSMUSP00000025561', '10090.ENSMUSP00000066488', '10090.ENSMUSP00000104208', '10090.ENSMUSP00000029948', '10090.ENSMUSP00000023610', '10090.ENSMUSP00000095866', '10090.ENSMUSP00000041006', '10090.ENSMUSP00000050076', '10090.ENSMUSP00000025791', '10090.ENSMUSP00000043153']",0.005108733476144251,0.04350186598509746
39,GO:0032355,Response to estradiol,Biological Process (Gene Ontology),"['10090.ENSMUSP00000082822', '10090.ENSMUSP00000026208', '10090.ENSMUSP00000025910', '10090.ENSMUSP00000034723', '10090.ENSMUSP00000036044', '10090.ENSMUSP00000025561', '10090.ENSMUSP00000099904', '10090.ENSMUSP00000022806', '10090.ENSMUSP00000063784', '10090.ENSMUSP00000009143', '10090.ENSMUSP00000004560', '10090.ENSMUSP00000082154', '10090.ENSMUSP00000041104', '10090.ENSMUSP00000105970', '10090.ENSMUSP00000031325']",0.0050865655866411535,0.043381189212814635
40,path:mmu00052,Galactose metabolism,KEGG,"['10090.ENSMUSP00000039114', '10090.ENSMUSP00000030121', '10090.ENSMUSP00000100045', '10090.ENSMUSP00000030266', '10090.ENSMUSP00000040244', '10090.ENSMUSP00000007449']",0.004969316903929001,0.04239618410447016
41,GO:0042908,Xenobiotic transport,Biological Process (Gene Ontology),"['10090.ENSMUSP00000031822', '10090.ENSMUSP00000026208', '10090.ENSMUSP00000041204', '10090.ENSMUSP00000009058', '10090.ENSMUSP00000021231', '10090.ENSMUSP00000097743']",0.004969316903929001,0.04239618410447016
42,GO:0099092,"Postsynaptic density, intracellular component",Cellular Component (Gene Ontology),"['10090.ENSMUSP00000067708', '10090.ENSMUSP00000029694', '10090.ENSMUSP00000126377', '10090.ENSMUSP00000093270', '10090.ENSMUSP00000091551', '10090.ENSMUSP00000026436']",0.004969316903929001,0.04239618410447016
43,GO:0061640,Cytoskeleton-dependent cytokinesis,Biological Process (Gene Ontology),"['10090.ENSMUSP00000000137', '10090.ENSMUSP00000021277', '10090.ENSMUSP00000026265', '10090.ENSMUSP00000098134', '10090.ENSMUSP00000079905', '10090.ENSMUSP00000137503', '10090.ENSMUSP00000026009', '10090.ENSMUSP00000090089', '10090.ENSMUSP00000079124', '10090.ENSMUSP00000045873', '10090.ENSMUSP00000078337']",0.004954448448770759,0.04231414099179832
44,GO:0090130,Tissue migration,Biological Process (Gene Ontology),"['10090.ENSMUSP00000108455', '10090.ENSMUSP00000087736', '10090.ENSMUSP00000074658', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000088964', '10090.ENSMUSP00000034588', '10090.ENSMUSP00000045873', '10090.ENSMUSP00000001780', '10090.ENSMUSP00000048218', '10090.ENSMUSP00000034453', '10090.ENSMUSP00000101684']",0.004954448448770759,0.04231414099179832
45,GO:0008013,Beta-catenin binding,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000073974', '10090.ENSMUSP00000074516', '10090.ENSMUSP00000100996', '10090.ENSMUSP00000109502', '10090.ENSMUSP00000051331', '10090.ENSMUSP00000054748', '10090.ENSMUSP00000070957', '10090.ENSMUSP00000046152', '10090.ENSMUSP00000078337', '10090.ENSMUSP00000052648', '10090.ENSMUSP00000022561']",0.004954448448770759,0.04231414099179832
