"ENSEMBL"	"wt6h_wt0h"	"wt24h_wt0h"	"wt48h_wt0h"	"wt336h_wt0h"	"wtRC12h_wt0h"	"ENTREZID"	"SYMBOL"	"GENENAME"	"TF"	"PC"	"gene_cluster"
"ENSMUSG00000026170"	-3.07019307045729	-0.627283669280196	-0.272851682122306	0.0142212618959043	-0.33064838832741	"104086"	"Cyp27a1"	"cytochrome P450, family 27, subfamily a, polypeptide 1"	"no"	"shared"	"cluster 8"
"ENSMUSG00000026249"	-0.946280874636318	-0.587510201778721	-1.04289217236826	-0.00475897003766373	-0.828574366933637	"20720"	"Serpine2"	"serine (or cysteine) peptidase inhibitor, clade E, member 2"	"no"	"others"	"cluster 7"
"ENSMUSG00000038608"	-1.14029682623242	-0.135645414728956	-0.521437078564144	0.0129150089028418	-0.318459890849148	"210293"	"Dock10"	"dedicator of cytokinesis 10"	"no"	"others"	"cluster 6"
"ENSMUSG00000026234"	1.95163656526297	0.657596950056167	0.125747846762188	0.000681049804933391	0.424494234045192	"17975"	"Ncl"	"nucleolin"	"no"	"others"	"cluster 3"
"ENSMUSG00000070738"	-1.13295851350703	-0.241522532007561	-0.971050648591087	-0.00486266635151735	-0.863386959928469	"227333"	"Dgkd"	"diacylglycerol kinase, delta"	"no"	"others"	"cluster 7"
"ENSMUSG00000044783"	-1.18907322597704	-0.0839148353894006	-0.334895914651477	0.00196040052752684	-0.25972811058301	"212427"	"A730008H23Rik"	"RIKEN cDNA A730008H23 gene"	"no"	"others"	"cluster 6"
"ENSMUSG00000026305"	1.1694072946942	0.255153816757596	0.0834601822737485	0.114946652896861	0.387491255013285	"16978"	"Lrrfip1"	"leucine rich repeat (in FLII) interacting protein 1"	"no"	"others"	"cluster 3"
"ENSMUSG00000026390"	2.39716951630838	2.80658074238659	2.19294450015702	0.00410495837160535	6.00922128236713	"17167"	"Marco"	"macrophage receptor with collagenous structure"	"no"	"shared"	"cluster 1"
"ENSMUSG00000026341"	1.14568880189295	0.340250788846549	0.354991787892363	-0.00414998466509221	0.729859344504629	"74117"	"Actr3"	"ARP3 actin-related protein 3"	"no"	"others"	"cluster 3"
"ENSMUSG00000016528"	1.58511201875238	0.744435139546722	0.506720364759874	0.00237342180418806	0.855807266249561	"17164"	"Mapkapk2"	"MAP kinase-activated protein kinase 2"	"no"	"others"	"cluster 2"
"ENSMUSG00000026425"	-1.2165867581453	-0.689963355728172	-0.80543075436795	-0.000247797952864705	-1.11802932608768	"14270"	"Srgap2"	"SLIT-ROBO Rho GTPase activating protein 2"	"no"	"others"	"cluster 7"
"ENSMUSG00000046062"	1.31761834809185	0.621288217208057	0.0663038554558564	-0.00227734198806672	0.403332558998061	"108954"	"Ppp1r15b"	"protein phosphatase 1, regulatory (inhibitor) subunit 15b"	"no"	"others"	"cluster 3"
"ENSMUSG00000026458"	-2.17929636478706	-0.571846414822656	0.0756789187082694	-0.00256302303193984	-0.734245047264523	"68507"	"Ppfia4"	"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4"	"no"	"shared"	"cluster 7"
"ENSMUSG00000041926"	0.646208440859422	0.253804210974212	1.08526679530103	0.00751333375005122	0.840866063039762	"215615"	"Rnpep"	"arginyl aminopeptidase (aminopeptidase B)"	"no"	"others"	"cluster 4"
"ENSMUSG00000041642"	-1.7216971545067	-0.907712268292688	-0.431312002216355	-0.00325949401511676	-0.869048663466981	"16565"	"Kif21b"	"kinesin family member 21B"	"no"	"others"	"cluster 7"
"ENSMUSG00000026393"	-1.09218019879595	-0.0781466821425227	-0.270339701430122	0.000420769932343352	-0.924535466432923	"59125"	"Nek7"	"NIMA (never in mitosis gene a)-related expressed kinase 7"	"no"	"others"	"cluster 7"
"ENSMUSG00000026360"	-1.453315722634	-0.506539309371208	-1.18759257359254	-0.00317430437496267	-1.05429293164153	"19735"	"Rgs2"	"regulator of G-protein signaling 2"	"no"	"others"	"cluster 7"
"ENSMUSG00000023150"	-1.29272716385947	-0.537394347521086	-1.22320471535056	-0.000274769091437259	-0.537574456553679	"117198"	"Ivns1abp"	"influenza virus NS1A binding protein"	"no"	"others"	"cluster 7"
"ENSMUSG00000042699"	1.04013679550289	0.256586203470546	0.784202877075971	0.00886204847007428	0.64414380329985	"13211"	"Dhx9"	"DEAH (Asp-Glu-Ala-His) box polypeptide 9"	"no"	"others"	"cluster 4"
"ENSMUSG00000026473"	-0.53499935862985	-0.0485299055634706	-0.402106573973162	-0.00475025689060695	-1.05489267785512	"14645"	"Glul"	"glutamate-ammonia ligase (glutamine synthetase)"	"no"	"others"	"cluster 7"
"ENSMUSG00000026596"	1.64448029218497	0.635061936911479	0.209860279042398	0.00101234920402663	0.700354061078618	"11352"	"Abl2"	"v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)"	"no"	"others"	"cluster 3"
"ENSMUSG00000060519"	1.59417986614625	0.404879628708647	1.42647132870036	-0.00245481499627572	-0.00657416639858671	"30935"	"Tor3a"	"torsin family 3, member A"	"no"	"others"	"cluster 2"
"ENSMUSG00000049881"	-1.72896223659372	-0.604931427696032	-0.0875846640933914	-0.00423501030793968	-0.524573847231788	"69953"	"2810025M15Rik"	"RIKEN cDNA 2810025M15 gene"	"no"	"others"	"cluster 7"
"ENSMUSG00000053332"	1.29515029172993	0.40736752150674	0.22452155497348	0.00583564479689739	0.683529548045773	"14455"	"Gas5"	"growth arrest specific 5"	"no"	"others"	"cluster 3"
"ENSMUSG00000040848"	-2.05875569212767	-0.572207469579352	-0.590205681314792	-0.010059110110443	-0.847447384280437	"108735"	"Sft2d2"	"SFT2 domain containing 2"	"no"	"others"	"cluster 7"
"ENSMUSG00000026663"	1.78552588112273	0.660741041062303	0.234127530942024	0.0224652476784438	0.597355320862629	"226641"	"Atf6"	"activating transcription factor 6"	"no"	"others"	"cluster 3"
"ENSMUSG00000026656"	1.42650755170652	0.234985524027962	1.22126200715243	0.0380221510067525	1.01311944254309	"14130"	"Fcgr2b"	"Fc receptor, IgG, low affinity IIb"	"no"	"others"	"cluster 2"
"ENSMUSG00000059089"	3.56154481921081	2.58808198773355	4.05955928990819	0.0181572465236732	3.34511935904216	"246256"	"Fcgr4"	"Fc receptor, IgG, low affinity IV"	"no"	"shared"	"cluster 1"
"ENSMUSG00000059498"	1.01468231442768	0.0604169647037052	0.588128257318452	0.00417505745433075	0.920283910682348	"14131"	"Fcgr3"	"Fc receptor, IgG, low affinity III"	"no"	"others"	"cluster 3"
"ENSMUSG00000015355"	-1.421567424133	-0.0199794447809697	-0.0525066459529043	0.00118338554568262	-0.117320851745272	"12506"	"Cd48"	"CD48 antigen"	"no"	"others"	"cluster 6"
"ENSMUSG00000038034"	-1.01404325979706	-0.335193488117841	0.575804770629865	0.00430736373292549	0.156127001935975	"140559"	"Igsf8"	"immunoglobulin superfamily, member 8"	"no"	"others"	"cluster 6"
"ENSMUSG00000026548"	-1.19213486167152	-0.0411615378694325	0.233976621930754	0.00142481169016604	-0.117215772581495	"98365"	"Slamf9"	"SLAM family member 9"	"no"	"others"	"cluster 6"
"ENSMUSG00000026547"	1.88353792872942	0.740676165549609	1.40179349323342	0.00280601152686664	1.44103214769653	"21346"	"Tagln2"	"transgelin 2"	"no"	"PC1"	"cluster 2"
"ENSMUSG00000053318"	2.01506553887228	-0.0140711809881177	0.696291870197175	0.0145211230761889	-0.110245542204698	"74748"	"Slamf8"	"SLAM family member 8"	"no"	"others"	"cluster 3"
"ENSMUSG00000073490"	4.11588361787877	3.76288547869648	3.83112210627294	-0.003100861920194	1.15646360171893	"226691"	"Ifi207"	"interferon activated gene 207"	"no"	"shared"	"cluster 1"
"ENSMUSG00000073489"	2.96371191001731	2.17742422398802	3.11829865182389	0.00719321053368794	0.781687008404299	"15951"	"Ifi204"	"interferon activated gene 204"	"no"	"PC1"	"cluster 1"
"ENSMUSG00000010609"	1.92923491034715	1.23500909344673	0.828779525107183	0.000269532393918391	0.967766395444655	"19165"	"Psen2"	"presenilin 2"	"no"	"others"	"cluster 2"
"ENSMUSG00000038855"	1.12210095175297	0.370814929046064	-0.022989127546733	-0.00508619552475317	-0.0411987149857953	"320404"	"Itpkb"	"inositol 1,4,5-trisphosphate 3-kinase B"	"no"	"others"	"cluster 3"
"ENSMUSG00000039377"	1.27283194555715	0.334402279794696	0.517861515050702	-0.0023544426659015	0.333928544950204	"15284"	"Hlx"	"H2.0-like homeobox"	"no"	"others"	"cluster 3"
"ENSMUSG00000026615"	1.3259651374506	0.21321047554182	0.00917372563062075	0.0042258849792049	0.224148581229988	"107508"	"Eprs"	"glutamyl-prolyl-tRNA synthetase"	"no"	"others"	"cluster 3"
"ENSMUSG00000037499"	-0.979982361432404	-0.335608041947934	1.03030758079492	-0.00492641254109312	-0.243609785951442	"66208"	"Nenf"	"neuron derived neurotrophic factor"	"no"	"others"	"cluster 6"
"ENSMUSG00000037318"	-1.05621168555167	-0.639316864109118	0.146647211732464	0.00279493567664064	-0.0311105196661156	"215243"	"Traf3ip3"	"TRAF3 interacting protein 3"	"no"	"others"	"cluster 6"
"ENSMUSG00000002107"	-1.2298677435622	-0.157149025692293	-0.536172460071173	-0.0121941009230477	-0.241426253422143	"14007"	"Celf2"	"CUGBP, Elav-like family member 2"	"no"	"others"	"cluster 6"
"ENSMUSG00000026773"	2.21422320393732	1.21016306453011	0.0839347598228001	-0.0023247993166235	0.345805368074742	"170768"	"Pfkfb3"	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"	"no"	"shared"	"cluster 2"
"ENSMUSG00000023206"	3.05809671756973	2.05525057765166	2.34926190367521	0.0196209883164548	2.35157979867633	"16169"	"Il15ra"	"interleukin 15 receptor, alpha chain"	"no"	"shared"	"cluster 1"
"ENSMUSG00000026748"	-1.92154236726884	-0.546707836455807	-0.399368045001532	-0.00264743716058478	-1.60694798183216	"67448"	"Plxdc2"	"plexin domain containing 2"	"no"	"shared"	"cluster 7"
"ENSMUSG00000026737"	-1.04361075955329	-0.24313728154867	-0.712300571317172	0.0022604764967183	-0.345298966763825	"18718"	"Pip4k2a"	"phosphatidylinositol-5-phosphate 4-kinase, type II, alpha"	"no"	"others"	"cluster 6"
"ENSMUSG00000026981"	5.4270685066031	1.02829846715847	0.333979015028188	0.000911545053863287	2.08423736630234	"16181"	"Il1rn"	"interleukin 1 receptor antagonist"	"no"	"shared"	"cluster 1"
"ENSMUSG00000026972"	-1.33005024149681	-0.252789623440297	-0.382461655184287	0.000943402542678248	-0.203267698091781	"215705"	"Arrdc1"	"arrestin domain containing 1"	"no"	"others"	"cluster 6"
"ENSMUSG00000036833"	-2.10965262586988	-0.258488776664245	0.0833846535414382	-0.00266808088714942	-0.051787480535606	"241274"	"Pnpla7"	"patatin-like phospholipase domain containing 7"	"no"	"others"	"cluster 6"
"ENSMUSG00000026939"	-1.15843670909549	-0.7084277715143	-0.0830484897198402	0.000445170366994969	-0.838027019788352	"51875"	"Tmem141"	"transmembrane protein 141"	"no"	"others"	"cluster 7"
"ENSMUSG00000049086"	-2.78411728482155	-1.58574518232749	-0.369290358546883	-0.00630776508155086	-1.13589821663976	"107771"	"Bmyc"	"brain expressed myelocytomatosis oncogene"	"no"	"PC1"	"cluster 8"
"ENSMUSG00000026923"	0.699679750275037	0.385788545917905	0.974495403464194	0.0211872165865507	1.07261305006085	"18128"	"Notch1"	"notch 1"	"no"	"others"	"cluster 4"
"ENSMUSG00000009621"	-1.86795967332526	-0.5911347937786	0.161674794712844	0.000317838188863177	-0.357323053938896	"22325"	"Vav2"	"vav 2 oncogene"	"no"	"others"	"cluster 6"
"ENSMUSG00000007476"	1.14561259968405	0.218014597399907	0.0838151115486269	0.00549989558662434	0.824483134853224	"241296"	"Lrrc8a"	"leucine rich repeat containing 8A"	"no"	"others"	"cluster 3"
"ENSMUSG00000026853"	-1.19499537269433	-0.410573693500945	-0.176470765390693	-0.000314026367533719	-0.237345869744888	"12908"	"Crat"	"carnitine acetyltransferase"	"no"	"others"	"cluster 6"
"ENSMUSG00000026842"	-1.22157345103884	-0.54006650409971	-0.0317745652424092	-0.0329878758777274	-0.972429692281151	"11350"	"Abl1"	"c-abl oncogene 1, non-receptor tyrosine kinase"	"no"	"others"	"cluster 7"
"ENSMUSG00000026822"	1.03078287575305	0.466077058184512	4.21928481328969	2.84820835016259	6.58413767434258	"16819"	"Lcn2"	"lipocalin 2"	"no"	"shared"	"cluster 1"
"ENSMUSG00000026791"	-1.99197895578473	-0.372847814788248	-0.0278922240734308	-1.87929946628631e-05	-0.209271632437343	"56017"	"Slc2a8"	"solute carrier family 2, (facilitated glucose transporter), member 8"	"no"	"others"	"cluster 6"
"ENSMUSG00000038860"	-2.8648157085079	-0.717104806806254	-0.422170578761868	-0.00673385278917114	-1.56312796356569	"99326"	"Garnl3"	"GTPase activating RANGAP domain-like 3"	"no"	"PC1"	"cluster 8"
"ENSMUSG00000036053"	2.58946820503857	1.09566750977356	0.433552542493763	0.00274434529484573	0.5033830038396	"71409"	"Fmnl2"	"formin-like 2"	"no"	"shared"	"cluster 2"
"ENSMUSG00000026970"	1.39328205684274	1.47935455096194	0.223388884815218	-0.00496967364678978	0.957236215236781	"56878"	"Rbms1"	"RNA binding motif, single stranded interacting protein 1"	"no"	"others"	"cluster 2"
"ENSMUSG00000026914"	1.019498618071	0.435869595387621	0.368865661009143	-0.00464548053708678	0.190897326890685	"59029"	"Psmd14"	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 14"	"no"	"others"	"cluster 3"
"ENSMUSG00000014959"	1.08134423668556	0.0434609968074387	0.426296162149062	-0.000701726382324913	0.533734002158849	"70231"	"Gorasp2"	"golgi reassembly stacking protein 2"	"no"	"others"	"cluster 3"
"ENSMUSG00000027111"	-1.61323540117826	-0.0860905897394905	0.0848470050341843	-0.00272291611596248	0.0632198025559426	"16403"	"Itga6"	"integrin alpha 6"	"no"	"others"	"cluster 6"
"ENSMUSG00000006494"	-1.05990631850229	-0.704052451099567	-0.568269343730154	-0.0021270280143621	-0.565695998371619	"228026"	"Pdk1"	"pyruvate dehydrogenase kinase, isoenzyme 1"	"no"	"others"	"cluster 7"
"ENSMUSG00000041762"	-2.8817325470755	-0.796592097256478	-0.542114125107714	-0.0188372358266091	-1.01858179726929	"68526"	"Gpr155"	"G protein-coupled receptor 155"	"no"	"PC1"	"cluster 8"
"ENSMUSG00000018770"	0.556535415699132	0.0291486894426722	1.14023264962727	-0.00214511678751916	0.155612775116612	"228033"	"Atp5g3"	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)"	"no"	"others"	"cluster 4"
"ENSMUSG00000040687"	-1.57486186464562	-0.301969392694427	0.229142814616829	-0.00179014711574921	-0.0872057504576062	"228355"	"Madd"	"MAP-kinase activating death domain"	"no"	"others"	"cluster 6"
"ENSMUSG00000040479"	0.37592221088433	0.0821220669362554	1.23680092919828	0.0102791760487986	0.953309459461852	"104418"	"Dgkz"	"diacylglycerol kinase zeta"	"no"	"others"	"cluster 4"
"ENSMUSG00000040272"	-2.54618281749044	-0.583892473418009	-0.404437688542555	-0.00356398706662512	-0.795190298648045	"329470"	"Accs"	"1-aminocyclopropane-1-carboxylate synthase (non-functional)"	"no"	"others"	"cluster 8"
"ENSMUSG00000027195"	1.29223314113339	0.584619760847628	0.974267648417298	0.00468404398221505	1.01428915816812	"56348"	"Hsd17b12"	"hydroxysteroid (17-beta) dehydrogenase 12"	"no"	"others"	"cluster 2"
"ENSMUSG00000032698"	-1.56649075127112	-0.848932065078326	-0.844615712755703	-0.00874881985683331	-1.03680470094357	"16909"	"Lmo2"	"LIM domain only 2"	"no"	"others"	"cluster 7"
"ENSMUSG00000027130"	-1.06671931393452	-0.10754286238193	-0.588740738992252	0.000442120935488792	-0.0508473432419503	"107723"	"Slc12a6"	"solute carrier family 12, member 6"	"no"	"others"	"cluster 6"
"ENSMUSG00000040093"	1.51262538668088	0.253042621168629	0.856285414874185	0.00168450392685754	0.862422673027206	"171543"	"Bmf"	"BCL2 modifying factor"	"no"	"others"	"cluster 2"
"ENSMUSG00000027315"	1.37786965056825	0.248305564036948	1.51576723591871	0.00101255432064977	1.28593596926117	"20732"	"Spint1"	"serine protease inhibitor, Kunitz type 1"	"no"	"others"	"cluster 4"
"ENSMUSG00000079110"	-2.28496606910722	-0.529392972430904	0.0370496334015274	0.00665079347796327	-0.10973405650626	"12335"	"Capn3"	"calpain 3"	"no"	"shared"	"cluster 6"
"ENSMUSG00000033705"	-1.87875292550221	-0.154800553143176	-0.219318636565969	0.00637688457199663	-0.409341639388055	"668880"	"Stard9"	"START domain containing 9"	"no"	"others"	"cluster 7"
"ENSMUSG00000027199"	1.24511376035225	0.0318961112431479	0.0190544809456593	-0.00341715851012157	-0.594664618102117	"67092"	"Gatm"	"glycine amidinotransferase (L-arginine:glycine amidinotransferase)"	"no"	"others"	"cluster 3"
"ENSMUSG00000068394"	2.18754941533562	0.595178540548571	0.833170936127999	0.00706223486490824	0.544984504718633	"99100"	"Cep152"	"centrosomal protein 152"	"no"	"PC2"	"cluster 2"
"ENSMUSG00000091337"	1.03067354291553	0.519166139480081	1.02118115765468	0.00475314666165132	1.00076618535084	"58521"	"Eid1"	"EP300 interacting inhibitor of differentiation 1"	"no"	"others"	"cluster 4"
"ENSMUSG00000027368"	4.25838171068223	1.6687073067249	0.281399179485419	-0.00014152127172594	0.0947563661550182	"13537"	"Dusp2"	"dual specificity phosphatase 2"	"no"	"shared"	"cluster 2"
"ENSMUSG00000027399"	1.37380872314878	0.49954660897685	0.392226564590132	-0.0053082775225983	0.225052406541417	"16175"	"Il1a"	"interleukin 1 alpha"	"no"	"others"	"cluster 3"
"ENSMUSG00000027398"	4.48514573392678	1.30574936592315	3.24495611429376	0.00828538455670361	3.45355326127703	"16176"	"Il1b"	"interleukin 1 beta"	"no"	"PC1"	"cluster 1"
"ENSMUSG00000037902"	-1.69168554598852	-0.643080420614144	-0.591129522689512	-0.00729127662647659	-0.851675869902461	"19261"	"Sirpa"	"signal-regulatory protein alpha"	"no"	"others"	"cluster 7"
"ENSMUSG00000027303"	-1.24801383818555	-0.489999741002889	-0.428494247102522	-0.0011665236170805	-0.671984100086137	"19262"	"Ptpra"	"protein tyrosine phosphatase, receptor type, A"	"no"	"others"	"cluster 7"
"ENSMUSG00000032046"	-1.06547468159024	-0.599499390993415	0.353948640734713	-0.00268045760387984	-0.283257275388782	"76192"	"Abhd12"	"abhydrolase domain containing 12"	"no"	"others"	"cluster 6"
"ENSMUSG00000007659"	1.19370897913299	0.0952515507196202	-0.251362212601721	-0.00288056811802038	0.479406337047195	"12048"	"Bcl2l1"	"BCL2-like 1"	"no"	"others"	"cluster 3"
"ENSMUSG00000003283"	1.43094378594774	0.38791985613737	0.707236521028743	-0.00202293527864654	0.521318156278651	"15162"	"Hck"	"hemopoietic cell kinase"	"no"	"others"	"cluster 3"
"ENSMUSG00000027602"	-1.18504552714858	-0.217679855972927	-0.978843308488491	-0.0290708547939723	-1.21277513200317	"66734"	"Map1lc3a"	"microtubule-associated protein 1 light chain 3 alpha"	"no"	"others"	"cluster 7"
"ENSMUSG00000027613"	1.35120990103826	0.214021991483788	0.235808173968049	-0.00180460138972929	0.163801665528189	"16418"	"Eif6"	"eukaryotic translation initiation factor 6"	"no"	"others"	"cluster 3"
"ENSMUSG00000055485"	-1.20763139335272	-0.296117407003694	-0.387741757767467	0.00154660497315041	-0.259770741896512	"320706"	"Soga1"	"suppressor of glucose, autophagy associated 1"	"no"	"others"	"cluster 6"
"ENSMUSG00000037820"	2.96084834639665	-0.0250433754536055	0.340769843250015	0.0158900991888995	0.622759031841255	"21817"	"Tgm2"	"transglutaminase 2, C polypeptide"	"no"	"shared"	"cluster 2"
"ENSMUSG00000035268"	-1.31794420036481	-0.505678389910397	0.365612557143025	0.00143774852320098	-0.454327135052193	"18769"	"Pkig"	"protein kinase inhibitor, gamma"	"no"	"others"	"cluster 6"
"ENSMUSG00000017009"	3.97107456574502	2.89376756609108	0.323726608116001	0.0043122714596347	2.36532000468192	"20971"	"Sdc4"	"syndecan 4"	"no"	"shared"	"cluster 1"
"ENSMUSG00000017664"	-1.33610221477762	-0.12758152624214	-0.378366252931806	-0.0206993267453262	-0.18123770939743	"228875"	"Slc35c2"	"solute carrier family 35, member C2"	"no"	"others"	"cluster 6"
"ENSMUSG00000039501"	1.23862172776286	0.191727835002062	1.07888238614613	-0.00385770847479426	0.0264636614542038	"98999"	"Znfx1"	"zinc finger, NFX1-type containing 1"	"no"	"others"	"cluster 3"
"ENSMUSG00000074578"	1.53637423288689	0.294288870491069	0.532719466361333	0.00392152290093742	0.2531697114406	NA	"13390"	NA	"no"	"others"	"cluster 3"
"ENSMUSG00000027540"	1.64735710226101	0.43990108262736	0.787987509080829	-0.00530704763734027	0.727983834985803	"19246"	"Ptpn1"	"protein tyrosine phosphatase, non-receptor type 1"	"no"	"others"	"cluster 2"
"ENSMUSG00000027544"	-1.31122311447156	-0.0138658539146515	0.0505297152093678	-0.00689081565475421	0.00090467324679384	"18019"	"Nfatc2"	"nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2"	"no"	"others"	"cluster 6"
"ENSMUSG00000038400"	-1.36749527886806	-0.44588352978979	-0.965280036432976	-0.00449664661918967	-0.976043232098509	"65112"	"Pmepa1"	"prostate transmembrane protein, androgen induced 1"	"no"	"others"	"cluster 7"
"ENSMUSG00000049999"	1.30685483828295	0.242117162876371	1.84479361368414	-0.00163447987544428	1.13063908440939	"228966"	"Ppp1r3d"	"protein phosphatase 1, regulatory subunit 3D"	"no"	"others"	"cluster 4"
"ENSMUSG00000049401"	1.34916043110482	0.456271813515726	0.610918385065689	0.000994542058194991	0.104786046429948	"72075"	"Ogfr"	"opioid growth factor receptor"	"no"	"others"	"cluster 3"
"ENSMUSG00000009731"	-2.16373321564184	-0.932589740544252	-0.107585343049978	-0.00342060386923415	-0.843826031731958	"16506"	"Kcnd1"	"potassium voltage-gated channel, Shal-related family, member 1"	"no"	"shared"	"cluster 8"
"ENSMUSG00000015340"	1.69112815099271	1.97867620691654	3.36810515798374	0.0210241928733772	2.92494754570513	"13058"	"Cybb"	"cytochrome b-245, beta polypeptide"	"no"	"shared"	"cluster 1"
"ENSMUSG00000040229"	-4.12241563520559	-0.814081970997623	-2.34777312137941	-0.00307517564028115	-2.43909437078846	"23890"	"Gpr34"	"G protein-coupled receptor 34"	"no"	"PC1"	"cluster 8"
"ENSMUSG00000060090"	-1.59067493574104	-0.484545886664439	-0.548182466089556	-0.00139663033503964	-0.682279759396583	"19889"	"Rp2"	"retinitis pigmentosa 2 homolog"	"no"	"others"	"cluster 7"
"ENSMUSG00000035967"	-1.70786097797274	-0.161411191025662	-0.390164648120208	-0.00660463980466521	-0.395379690342495	"236790"	"Ints6l"	"integrator complex subunit 6 like"	"no"	"others"	"cluster 7"
"ENSMUSG00000031133"	-1.88469746693942	-0.294198930198803	-0.324239588465306	-0.0103476284935324	-0.930403845650139	"73341"	"Arhgef6"	"Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6"	"no"	"others"	"cluster 7"
"ENSMUSG00000031378"	-1.23901449999136	-0.07179103045053	-0.199130098357647	-0.00798561409337768	-0.0592085374539271	"11666"	"Abcd1"	"ATP-binding cassette, sub-family D (ALD), member 1"	"no"	"others"	"cluster 6"
"ENSMUSG00000002010"	-1.06950536665133	-0.405338381507807	-0.194891029717542	-0.0189024397023983	-0.496371714405726	"15929"	"Idh3g"	"isocitrate dehydrogenase 3 (NAD+), gamma"	"no"	"others"	"cluster 6"
"ENSMUSG00000002014"	0.550633694292236	0.273199766656653	1.03878349869259	-0.00294962348440338	0.231643912370794	"20832"	"Ssr4"	"signal sequence receptor, delta"	"no"	"others"	"cluster 4"
"ENSMUSG00000031389"	-1.05197145304267	-0.424561329249006	0.36373302869538	0.00712239219332661	-0.0589886850989737	"171207"	"Arhgap4"	"Rho GTPase activating protein 4"	"no"	"others"	"cluster 6"
"ENSMUSG00000031328"	0.902843298735467	0.652351828227622	1.57514473485748	-3.9256880258653e-05	1.50675576120938	"192176"	"Flna"	"filamin, alpha"	"no"	"others"	"cluster 4"
"ENSMUSG00000031214"	-1.58306090876534	-0.495724579582876	-0.396422032992428	0.00868260304302992	-0.139025415720665	"94190"	"Ophn1"	"oligophrenin 1"	"no"	"others"	"cluster 6"
"ENSMUSG00000031431"	1.69072827582024	1.0370158481131	0.238955869779703	0.000306007111564163	-0.0446251083594564	"14605"	"Tsc22d3"	"TSC22 domain family, member 3"	"no"	"PC2"	"cluster 3"
"ENSMUSG00000031295"	-1.52854937385889	-0.182884176145051	0.92523035818769	-0.00470138610272802	-0.217194272751839	"110094"	"Phka2"	"phosphorylase kinase alpha 2"	"no"	"others"	"cluster 6"
